IDRSSD	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	field48
12179	6824000	0	513000	9225000	0	12598000	0	0	0	0	23319000	0	1048000		6576000	7328000	1524000	12085000	22271000	0	0	403000	0	0	1685000	4260000	2256000	966000	5944000	0	0	0	0	2591000	0	0	0	0	0	TRUE							
12311	9122036000	26000	1033462000	7762401000	0	8345783000	0	0	2639287000	245000	75265604000	0	3787531000		3691007000	59405286000	652221000	7286465000	71465315000	25830000	12513000	142435000	2639287000	2634039000	670633000	3943477000	953031000	41773000	4614110000	222914000	785838000	118694000	1923000	1917907000	1129369000	1615374000	0	1008752000	0	TRUE	635977000	497459000	24485866000	33198520000	307023000	8800562000	
12647	26591000	0	1697000	38629000	0	48066000	0	0	19674000	0	90797000	0	5791000		12434000	23303000	4258000	46369000	85006000	0	0	496000	19674000	12997000	4574000	9151000	4785000	0	13725000	8983000	6733000	6677000	0	6076000	22393000	0	0	15716000	0	FALSE							
12656	2356000	0	920000	4946000	0	7343000	0	0	0	0	8519000	0	1502000		2527000	1142000	830000	6423000	7017000	0	0	223000	0	0	697000	2550000	1663000	111000	3247000	0	0	0	0	2494000	0	0	0	0	0	TRUE							
12946	65106000	0	213395000	93701000	0	387244000	0	0	87749000	0	1005978000	0	324981000		135517000	337060000	47098000	173849000	680997000	0	0	21497000	0	0	67893000	114712000	95874000	14667000	181619000	104680000	157687000	45004000	3295000	157629000	310666000	82535000	87749000	262367000	0	TRUE	32938000	22908000	155550000	79425000	60620000	4486000	
13103	473819000	0	26481000	89432000	0	205841000	0	0	42166000	0	1608741000	0	368584000		180980000	737083000	67710000	179079000	1238487000	281000	1670000	0	42166000	0	32598000	85248000	142379000	15889000	117846000	22005000	63604000	31701000	4415000	95134000	121725000	0	0	85609000	0	TRUE	9823000	76808000	330900000	152374000	182299000	175531000	
13251	4055000	0	1021000	8006000	0	12395000	0	0	0	0	29187000	0	2535000		5819000	18784000	1130000	11374000	26652000	0	0	0	0	0	1163000	4106000	1078000	0	5269000	0	0	0	0	528000	0	0	0	0	0	TRUE							
13457	3537000	0	512000	4381000	0	7115000	0	0	0	0	9586000	0	817000		2199000	1419000	1186000	6603000	8769000	0	0	0	0	0	479000	2546000	639000	0	3025000	0	965000	0	0	1466000	965000	0	0	965000	0	FALSE							
14155	20497000	0	11862000	52639000	0	96024000	0	0	4171000	0	95007000	0	15742000		15769000	35007000	5628000	81463000	78427000	2699000	838000	2328000	0	0	7473000	13052000	10268000	1194000	20525000	258000	3847000	3411000	0	16218000	7516000	42342000	2000000	4105000	0	TRUE							
14650	7697000	0	4195000	9511000	0	16569000	0	0	0	0	17901000	0	170000		3470000	1166000	1233000	12374000	17731000	0	0	409000	0	0	1350000	2547000	2023000	1490000	3072000	1000000	253000	375000	0	3939000	1628000	0	0	1253000	0	FALSE							
14753	14371000	0	926000	12778000	0	12778000	0	0	0	0	24425000	0	2366000		6574000	0	2893000	11852000	22059000	0	0	730000	0	0	2772000	6176000	313000	29000	8948000	500000	0	264000	0	2716000	764000	0	0	500000	0	FALSE							
14865	88809000	0	28488000	219235000	0	219235000	0	0	0	0	202657000	0	20816000		26713000	63423000	12755000	190747000	181841000	0	0	3648000	0	0	20392000	15193000	9833000	2195000	31381000	566000	904000	1342000	0	20900000	2812000	36104000	0	1470000	1737000	TRUE							
14977	4773000	0	0	7091000	0	10244000	0	0	0	0	27050000	0	0		7755000	1023000	3193000	10244000	27050000	0	0	1124000	0	0	3828000	11045000	2597000	339000	14873000	425000	2481000	537000	0	10054000	3444000	0	0	2906000	0	FALSE							
16551	44997000	0	6448000	63259000	0	106089000	0	0	6917000	0	168430000	0	10040000		55357000	43337000	24087000	99155000	158390000	486000	0	7308000	6917000	2153000	8347000	26051000	35883000	1175000	34398000	1025000	3082000	4534000	0	16098000	8641000	0	0	4107000	0	TRUE							
16748	16023000	0	2641000	21391000	0	26869000	0	0	0	0	42830000	0	1417000		10455000	7705000	3340000	24228000	41413000	0	0	1174000	0	0	2641000	7387000	6660000	751000	9996000	265000	869000	530000	0	6983000	1664000	0	0	1134000	0	FALSE							
17110	0	0	0	0	0	0	0	0	0	0	97983000	0	6646000		19001000	0	5481000	0	91337000	0	0	4359000	0	0	51620000	0	0	0	51620000	46363000	0	0	0	32619000	46363000	0	0	46363000	0	FALSE							
17147	4847387000	0	338585000	425434000	0	746085000	0	0	202830000	0	7693773000	0	1114312000		930606000	1195250000	161007000	406188000	6579461000	1312000	0	33888000	202830000	80175000	273413000	726800000	344447000	34521000	1000213000	51983000	178542000	40235000	1194000	448575000	271953000	10573000	0	167969000	0	TRUE	1356000	59393000	695160000	320781000	1801512000	2829834000	
17259	12893000	0	1384000	10452000	0	16181000	0	0	0	0	33751000	0	3612000		9404000	1552000	4527000	14797000	30139000	0	0	1767000	0	0	2233000	8191000	4910000	720000	10424000	600000	300000	1839000	513000	6650000	3252000	0	0	900000	0	FALSE							
17950	64185000	447000	35714000	80419000	0	164439000	0	0	76074000	0	304706000	267000	51612000		30516000	132241000	10650000	128278000	213628000	0	39199000	4354000	39574000	39574000	9333000	25458000	14064000	3701000	34558000	31285000	21522000	2917000	0	22040000	55724000	39574000	36500000	52807000	0	TRUE							
17978	54032000	0	0	2737000	0	31911000	0	0	0	0	142610000	0	938000		47549000	2697000	32803000	31911000	139267000	0	2405000	14490000	0	0	9792000	33330000	15296000	15084000	43122000	3332000	5658000	570000	2820000	25952000	12380000	0	0	8990000	0	TRUE							
18050	77937000	0	61957000	189450000	0	276366000	0	0	0	0	260764000	0	5281000		42862000	49666000	11365000	214409000	255483000	0	0	3712000	0	0	26954000	39978000	19824000	966000	65068000	2950000	31448000	11040000	0	44861000	45438000	11498000	0	34398000	0	FALSE							
18135	27174000	0	0	102967000	0	128153000	0	0	14192000	0	121545000	0	8437000		13155000	48683000	3734000	128153000	111432000	0	1676000	729000	14192000	14192000	6552000	8920000	3404000	1640000	14833000	8869000	14240000	2063000	0	7361000	25172000	14192000	0	23109000	0	TRUE							
18827	744380000	0	10815000	60766000	0	96046000	0	0	159000	0	1028605000	0	173839000		70020000	125874000	22483000	83423000	854623000	1808000	143000	6184000	159000	159000	13967000	50635000	33154000	11888000	64601000	14191000	22595000	10434000	1487000	39623000	48707000	0	0	36786000	0	TRUE	39706000	20460000	56783000	34439000	172177000	467650000	
18836	17497000	0	1457000	31023000	0	41262000	0	0	0	0	94117000	0	2807000		36489000	14062000	12993000	39805000	91310000	0	0	4717000	0	0	16159000	17486000	15293000	9043000	30654000	254000	2723000	769000	832000	21492000	4578000	2985000	0	2977000	0	TRUE							
18854	69401000	0	50028000	291821000	0	294825000	0	0	31596000	0	401633000	0	38215000		27476000	119331000	2949000	244797000	315463000	0	47955000	1247000	31596000	31596000	31905000	95418000	26120000	791000	127323000	19350000	33284000	6033000	0	126758000	58667000	171531000	0	52634000	47955000	TRUE							
